candidate_id,rank,score,reasoning
CAND_0000031,1,0.9376,"Recommendation Systems Engineer with 6.0y experience at Swiggy (Food Delivery); career history shows hands-on search / ranking / recommendation work; open to work, responds to 91% of recruiters, last active 8d ago."
CAND_0000014,2,0.3722,"Frontend Engineer with 8.4y experience at Zomato (Food Delivery); responds to 80% of recruiters, last active 50d ago."
CAND_0000046,15,0.1713,"Mechanical Engineer with 7.8y experience at Hooli (Software); responds to 41% of recruiters, last active 101d ago. Watch: based in UK (relocation/visa)."
CAND_0000044,16,0.1652,"Frontend Engineer with 5.7y experience at Tech Mahindra (IT Services); responds to 66% of recruiters, last active 172d ago. Watch: services-firm background, limited recent activity (172d)."
CAND_0000032,17,0.1589,".NET Developer with 8.1y experience at Cognizant (IT Services); responds to 69% of recruiters, last active 154d ago. Watch: services-firm background, 150d notice, limited recent activity (154d)."
CAND_0000001,18,0.1363,"Backend Engineer with 6.9y experience at Mindtree (IT Services); open to work, responds to 34% of recruiters, last active 12d ago. Watch: services-firm background, based in Canada (relocation/visa)."
CAND_0000039,19,0.1211,"Marketing Manager with 3.9y experience at Acme Corp (Manufacturing); responds to 52% of recruiters, last active 44d ago. Watch: under the 5-9y band (3.9y)."
CAND_0000035,20,0.1175,"Full Stack Developer with 4.3y experience at Globex Inc (Manufacturing); responds to 34% of recruiters, last active 115d ago. Watch: under the 5-9y band (4.3y), services-firm background."
CAND_0000020,21,0.1165,"Mechanical Engineer with 6.3y experience at Wipro (IT Services); responds to 55% of recruiters, last active 239d ago. Watch: services-firm background, limited recent activity (239d)."
CAND_0000045,22,0.1114,"Project Manager with 12.2y experience at Initech (Software); open to work, responds to 62% of recruiters, last active 38d ago. Watch: above the 5-9y band (12.2y), services-firm background."
CAND_0000016,23,0.1077,"Accountant with 5.3y experience at Infosys (IT Services); open to work, responds to 64% of recruiters, last active 162d ago. Watch: services-firm background, limited recent activity (162d)."
CAND_0000049,24,0.1051,"Mechanical Engineer with 11.8y experience at Wayne Enterprises (Conglomerate); responds to 59% of recruiters, last active 19d ago. Watch: above the 5-9y band (11.8y), based in Germany (relocation/visa), 120d notice."
CAND_0000024,25,0.1035,"HR Manager with 7.5y experience at TCS (IT Services); responds to 78% of recruiters, last active 132d ago. Watch: services-firm background, limited recent activity (132d)."
CAND_0000043,26,0.0942,"Cloud Engineer with 8.3y experience at Swiggy (Food Delivery); responds to 4% of recruiters, last active 151d ago. Watch: services-firm background, 120d notice, limited recent activity (151d)."
CAND_0000030,27,0.082,"Marketing Manager with 10.0y experience at Dunder Mifflin (Paper Products); responds to 66% of recruiters, last active 217d ago. Watch: above the 5-9y band (10.0y), limited recent activity (217d)."
CAND_0000022,28,0.0795,"Mechanical Engineer with 1.1y experience at Hooli (Software); open to work, responds to 27% of recruiters, last active 29d ago. Watch: under the 5-9y band (1.1y), based in Australia (relocation/visa), 150d notice."
CAND_0000021,29,0.0792,"Project Manager with 14.5y experience at Wipro (IT Services); responds to 49% of recruiters, last active 192d ago. Watch: above the 5-9y band (14.5y), services-firm background, limited recent activity (192d)."
CAND_0000033,30,0.0788,"Graphic Designer with 8.6y experience at Wipro (IT Services); open to work, responds to 8% of recruiters, last active 66d ago. Watch: services-firm background."
CAND_0000040,31,0.0769,"Customer Support with 1.6y experience at Globex Inc (Manufacturing); responds to 46% of recruiters, last active 121d ago. Watch: under the 5-9y band (1.6y), limited recent activity (121d)."
CAND_0000006,32,0.0584,"Business Analyst with 6.0y experience at Wayne Enterprises (Conglomerate); responds to 12% of recruiters, last active 93d ago. Watch: based in USA (relocation/visa), 150d notice."
CAND_0000036,33,0.0549,"Project Manager with 11.3y experience at Initech (Software); open to work, responds to 40% of recruiters, last active 171d ago. Watch: above the 5-9y band (11.3y), services-firm background, limited recent activity (171d)."
CAND_0000009,34,0.0504,"Mechanical Engineer with 11.0y experience at Dunder Mifflin (Paper Products); responds to 53% of recruiters, last active 125d ago. Watch: above the 5-9y band (11.0y), services-firm background, based in USA (relocation/visa), 150d notice, limited recent activity (125d)."
CAND_0000008,35,0.0502,"Operations Manager with 3.6y experience at Wipro (IT Services); responds to 42% of recruiters, last active 170d ago. Watch: under the 5-9y band (3.6y), services-firm background, limited recent activity (170d)."
CAND_0000029,36,0.0475,"Business Analyst with 7.2y experience at Wipro (IT Services); responds to 12% of recruiters, last active 245d ago. Watch: services-firm background, limited recent activity (245d)."
CAND_0000042,37,0.0454,"HR Manager with 5.0y experience at Wayne Enterprises (Conglomerate); responds to 58% of recruiters, last active 221d ago. Watch: services-firm background, based in Germany (relocation/visa), limited recent activity (221d)."
CAND_0000013,38,0.0425,"Civil Engineer with 1.1y experience at Globex Inc (Manufacturing); open to work, responds to 28% of recruiters, last active 67d ago. Watch: under the 5-9y band (1.1y), based in UAE (relocation/visa)."
CAND_0000037,39,0.0383,"Business Analyst with 14.3y experience at Stark Industries (Manufacturing); responds to 78% of recruiters, last active 172d ago. Watch: above the 5-9y band (14.3y), based in UAE (relocation/visa), limited recent activity (172d)."
CAND_0000005,40,0.0358,"Accountant with 11.0y experience at Stark Industries (Manufacturing); open to work, responds to 37% of recruiters, last active 243d ago. Watch: above the 5-9y band (11.0y), services-firm background, limited recent activity (243d)."
CAND_0000017,41,0.0344,"Accountant with 12.3y experience at Wipro (IT Services); responds to 27% of recruiters, last active 209d ago. Watch: above the 5-9y band (12.3y), services-firm background, limited recent activity (209d)."
CAND_0000041,42,0.0339,"Operations Manager with 13.7y experience at Hooli (Software); open to work, responds to 7% of recruiters, last active 77d ago. Watch: above the 5-9y band (13.7y), services-firm background."
CAND_0000004,43,0.0338,"Marketing Manager with 3.8y experience at Dunder Mifflin (Paper Products); responds to 26% of recruiters, last active 68d ago. Watch: under the 5-9y band (3.8y), services-firm background, based in Australia (relocation/visa), 120d notice."
CAND_0000047,44,0.0303,"Project Manager with 2.4y experience at TCS (IT Services); responds to 39% of recruiters, last active 71d ago. Watch: under the 5-9y band (2.4y), services-firm background."
CAND_0000034,45,0.0262,"Business Analyst with 14.5y experience at Wipro (IT Services); responds to 15% of recruiters, last active 149d ago. Watch: above the 5-9y band (14.5y), services-firm background, limited recent activity (149d)."
CAND_0000003,46,0.0245,"Customer Support with 1.1y experience at TCS (IT Services); responds to 46% of recruiters, last active 72d ago. Watch: under the 5-9y band (1.1y), services-firm background, based in USA (relocation/visa), 150d notice."
CAND_0000050,47,0.0236,"Business Analyst with 13.5y experience at Infosys (IT Services); responds to 42% of recruiters, last active 222d ago. Watch: above the 5-9y band (13.5y), services-firm background, limited recent activity (222d)."
CAND_0000002,48,0.023,"Operations Manager with 12.5y experience at Wipro (IT Services); open to work, responds to 29% of recruiters, last active 201d ago. Watch: above the 5-9y band (12.5y), services-firm background, limited recent activity (201d)."
CAND_0000012,49,0.0187,"Operations Manager with 1.1y experience at Stark Industries (Manufacturing); responds to 16% of recruiters, last active 216d ago. Watch: under the 5-9y band (1.1y), limited recent activity (216d)."
CAND_0000028,50,0.0176,"Operations Manager with 1.1y experience at Wipro (IT Services); responds to 14% of recruiters, last active 62d ago. Watch: under the 5-9y band (1.1y), services-firm background, based in UAE (relocation/visa)."
